datetime,data
6/3/21 11:13 AM,2635
6/3/21 11:30 AM,2636
6/3/21 11:46 AM,2635
6/3/21 12:02 PM,2793
6/3/21 12:19 PM,2609
6/3/21 12:35 PM,2682
6/3/21 12:51 PM,2486
6/3/21 1:08 PM,2470
6/3/21 1:24 PM,2454
6/3/21 1:40 PM,2430
6/3/21 1:57 PM,2406
6/3/21 2:13 PM,2389
6/3/21 2:29 PM,2382
6/3/21 2:46 PM,2373
6/3/21 3:02 PM,2369
6/3/21 3:18 PM,2534
6/3/21 3:35 PM,2534
6/3/21 3:51 PM,2479
6/3/21 4:07 PM,2526
6/3/21 4:24 PM,2928
6/3/21 4:40 PM,4441
6/3/21 4:56 PM,4409
6/3/21 5:13 PM,4316
6/3/21 5:29 PM,4367
6/3/21 6:10 PM,3754
6/3/21 6:27 PM,4132
6/3/21 6:43 PM,4158
6/3/21 6:59 PM,4165
6/3/21 7:16 PM,4176
6/3/21 7:32 PM,4184
6/3/21 7:48 PM,4200
6/3/21 8:05 PM,4210
6/3/21 8:21 PM,4203
6/3/21 8:37 PM,4210
6/3/21 8:54 PM,4197
6/3/21 9:10 PM,4187
6/3/21 9:26 PM,4184
6/3/21 9:43 PM,4171
6/3/21 9:59 PM,4170
6/3/21 10:36 PM,3699
6/3/21 10:53 PM,4071
6/3/21 11:09 PM,4168
6/3/21 11:25 PM,4083
6/3/21 11:42 PM,4197
6/3/21 11:58 PM,4202
6/4/21 12:14 AM,4214
6/4/21 12:30 AM,4146
6/4/21 12:47 AM,4217
6/4/21 1:03 AM,4231
6/4/21 1:19 AM,4238
6/4/21 1:36 AM,4244
6/4/21 1:52 AM,4251
6/4/21 2:08 AM,4258
6/4/21 2:25 AM,4263
6/4/21 2:41 AM,4270
6/4/21 2:57 AM,4276
6/4/21 3:14 AM,4286
6/4/21 3:30 AM,4286
6/4/21 3:46 AM,4294
6/4/21 4:03 AM,4293
6/4/21 4:19 AM,4266
6/4/21 4:35 AM,4299
6/4/21 4:52 AM,4304
6/4/21 5:08 AM,4309
6/4/21 5:24 AM,4312
6/4/21 5:41 AM,4315
6/4/21 6:18 AM,3828
6/4/21 6:34 AM,4290
6/4/21 6:51 AM,4319
6/4/21 7:07 AM,4326
6/4/21 7:23 AM,4338
6/4/21 7:40 AM,4331
6/4/21 7:56 AM,4339
6/4/21 8:12 AM,4328
6/4/21 8:29 AM,4339
6/4/21 8:45 AM,4333
6/4/21 9:01 AM,4343
6/4/21 9:18 AM,4250
6/4/21 9:34 AM,4337
6/4/21 9:50 AM,4337
6/4/21 10:07 AM,4346
6/4/21 10:23 AM,4344
6/4/21 10:39 AM,4345
6/4/21 11:17 AM,3849
6/4/21 11:33 AM,4299
6/4/21 11:49 AM,4325
6/4/21 12:06 PM,4325
6/4/21 12:22 PM,4324
6/4/21 12:38 PM,4325
6/4/21 1:16 PM,3820
6/4/21 1:32 PM,4262
6/4/21 1:48 PM,4283
6/4/21 2:05 PM,4275
6/4/21 2:21 PM,4264
6/4/21 2:37 PM,4262
6/4/21 2:54 PM,4246
6/4/21 3:10 PM,4311
6/4/21 3:26 PM,4223
6/4/21 3:43 PM,4204
6/4/21 3:59 PM,4195
6/4/21 4:15 PM,4172
6/4/21 4:32 PM,3401
6/4/21 4:48 PM,3249
6/4/21 5:04 PM,3068
6/4/21 5:21 PM,1809
6/4/21 5:37 PM,1611
6/4/21 5:53 PM,1657
6/4/21 6:14 PM,1223
6/4/21 6:30 PM,1939
6/4/21 6:46 PM,1967
6/4/21 7:03 PM,2709
6/4/21 7:19 PM,2760
6/4/21 7:35 PM,2641
6/4/21 7:52 PM,4955
6/4/21 8:08 PM,32
6/4/21 8:45 PM,26
6/4/21 9:02 PM,11
6/4/21 9:18 PM,27
6/4/21 9:34 PM,23
6/4/21 9:51 PM,22
6/4/21 10:07 PM,19
6/4/21 10:23 PM,20
6/4/21 10:40 PM,11
6/4/21 11:17 PM,24
6/4/21 11:33 PM,13
6/4/21 11:50 PM,10
6/5/21 12:06 AM,7
6/5/21 12:22 AM,9
6/5/21 12:39 AM,11
6/5/21 12:55 AM,10
6/5/21 1:11 AM,13
6/5/21 1:28 AM,9
6/5/21 1:44 AM,11
6/5/21 2:00 AM,11
6/5/21 2:17 AM,8
6/5/21 2:33 AM,12
6/5/21 2:49 AM,12
6/5/21 3:06 AM,10
6/5/21 3:22 AM,13
6/5/21 3:38 AM,9
6/5/21 3:55 AM,12
6/5/21 4:11 AM,10
6/5/21 4:27 AM,12
6/5/21 4:44 AM,11
6/5/21 5:00 AM,10
6/5/21 5:16 AM,10
6/5/21 5:33 AM,14
6/5/21 5:49 AM,10
6/5/21 6:05 AM,11
6/5/21 6:22 AM,15
6/5/21 6:38 AM,9
6/5/21 6:54 AM,13
6/5/21 7:11 AM,11
6/5/21 7:27 AM,11
6/5/21 7:43 AM,13
6/5/21 7:59 AM,15
6/5/21 8:16 AM,8
6/5/21 8:32 AM,11
6/5/21 8:48 AM,9
6/5/21 9:05 AM,13
6/5/21 9:21 AM,9
6/5/21 9:37 AM,16
6/5/21 9:54 AM,11
6/5/21 10:31 AM,70
6/5/21 10:47 AM,632
6/5/21 11:04 AM,26
6/5/21 11:20 AM,1127
6/5/21 11:36 AM,22
6/5/21 11:53 AM,13
6/5/21 12:09 PM,14
6/5/21 12:25 PM,15
6/5/21 12:42 PM,21
6/5/21 12:58 PM,13
6/5/21 1:14 PM,17
6/5/21 1:31 PM,18
6/5/21 1:47 PM,18
6/5/21 2:03 PM,10762
6/5/21 2:20 PM,20
6/5/21 2:36 PM,17
6/5/21 2:52 PM,22
6/5/21 3:09 PM,21
6/5/21 3:25 PM,22
6/5/21 3:41 PM,18
6/5/21 3:58 PM,19
6/5/21 4:14 PM,18
6/5/21 4:30 PM,26
6/5/21 4:47 PM,19
6/5/21 5:03 PM,16
6/5/21 5:19 PM,19
6/5/21 5:36 PM,14
6/5/21 6:17 PM,36
6/5/21 6:33 PM,20
6/5/21 6:50 PM,23
6/5/21 7:06 PM,22
6/5/21 7:22 PM,20
6/5/21 7:39 PM,19
6/5/21 7:55 PM,24
6/5/21 8:11 PM,22
6/5/21 8:28 PM,19
6/5/21 8:44 PM,24
6/5/21 9:00 PM,21
6/5/21 9:16 PM,18
6/5/21 9:33 PM,17
6/5/21 9:49 PM,23
6/5/21 10:05 PM,20
6/5/21 10:22 PM,20
6/5/21 10:38 PM,26
6/5/21 10:55 PM,0
6/5/21 11:11 PM,0
6/5/21 11:48 PM,23
6/6/21 12:05 AM,8
6/6/21 12:21 AM,7
6/6/21 12:37 AM,7
6/6/21 12:54 AM,8
6/6/21 1:10 AM,7
6/6/21 1:48 AM,15
6/6/21 2:04 AM,6
6/6/21 2:20 AM,7
6/6/21 2:36 AM,11
6/6/21 3:14 AM,16
6/6/21 3:30 AM,11
6/6/21 3:46 AM,8
6/6/21 4:03 AM,10
6/6/21 4:19 AM,13
6/6/21 4:35 AM,11
6/6/21 4:52 AM,13
6/6/21 5:08 AM,14
6/6/21 5:24 AM,12
6/6/21 5:41 AM,13
6/6/21 5:57 AM,16
6/6/21 6:13 AM,7
6/6/21 6:30 AM,13
6/6/21 6:46 AM,13
6/6/21 7:03 AM,10
6/6/21 7:19 AM,14
6/6/21 7:35 AM,12
6/6/21 7:52 AM,10
6/6/21 8:08 AM,9
6/6/21 8:24 AM,6
6/6/21 8:41 AM,15
6/6/21 8:57 AM,8
6/6/21 9:13 AM,14
6/6/21 9:30 AM,15
6/6/21 9:46 AM,10
6/6/21 10:02 AM,12
6/6/21 10:19 AM,17
6/6/21 10:35 AM,30
6/6/21 10:51 AM,36
6/6/21 11:08 AM,28
6/6/21 11:24 AM,1140
6/6/21 11:40 AM,19
6/6/21 11:57 AM,17
6/6/21 12:13 PM,12
6/6/21 12:29 PM,18
6/6/21 12:46 PM,17
6/6/21 1:02 PM,15
6/6/21 1:18 PM,12
6/6/21 1:34 PM,16
6/6/21 1:51 PM,27
6/6/21 2:07 PM,18
6/6/21 2:24 PM,17
6/6/21 2:40 PM,24
6/6/21 2:56 PM,18
6/6/21 3:12 PM,22
6/6/21 3:29 PM,17
6/6/21 3:45 PM,17
6/6/21 4:01 PM,25
6/6/21 4:18 PM,21
6/6/21 4:34 PM,15
6/6/21 4:50 PM,15
6/6/21 5:07 PM,14
6/6/21 5:23 PM,21
6/6/21 5:39 PM,24
6/6/21 5:56 PM,22
6/6/21 6:16 PM,34
6/6/21 6:32 PM,23
6/6/21 6:49 PM,19
6/6/21 7:05 PM,31
6/6/21 7:21 PM,20
6/6/21 7:38 PM,16
6/6/21 7:54 PM,23
6/6/21 8:10 PM,20
6/6/21 8:27 PM,31
6/6/21 8:43 PM,24
6/6/21 8:59 PM,24
6/6/21 9:16 PM,20
6/6/21 9:32 PM,24
6/6/21 9:48 PM,22
6/6/21 10:05 PM,22
6/6/21 10:21 PM,19
6/6/21 10:37 PM,18
6/6/21 10:54 PM,17
6/6/21 11:10 PM,0
6/6/21 11:27 PM,0
6/6/21 11:43 PM,13
6/6/21 11:59 PM,9
6/7/21 12:16 AM,9
6/7/21 12:32 AM,11
6/7/21 12:48 AM,9
6/7/21 1:05 AM,7
6/7/21 1:21 AM,8
6/7/21 1:37 AM,9
6/7/21 2:15 AM,18
6/7/21 2:31 AM,12
6/7/21 2:47 AM,9
6/7/21 3:04 AM,7
6/7/21 3:20 AM,12
6/7/21 3:36 AM,12
6/7/21 3:53 AM,7
6/7/21 4:09 AM,12
6/7/21 4:46 AM,10
6/7/21 5:03 AM,8
6/7/21 5:19 AM,15
6/7/21 5:35 AM,8
6/7/21 5:51 AM,12
6/7/21 6:08 AM,11
6/7/21 6:24 AM,12
6/7/21 6:40 AM,9
6/7/21 6:57 AM,11
6/7/21 7:13 AM,10
6/7/21 7:29 AM,10
6/7/21 7:46 AM,13
6/7/21 8:02 AM,10
6/7/21 8:18 AM,10
6/7/21 8:35 AM,12
6/7/21 8:51 AM,14
6/7/21 9:07 AM,62
6/7/21 9:24 AM,7
6/7/21 9:40 AM,11
6/7/21 9:56 AM,16
6/7/21 10:13 AM,8
6/7/21 10:29 AM,15
6/7/21 10:45 AM,87
6/7/21 11:02 AM,23
6/7/21 11:18 AM,11
6/7/21 11:34 AM,17
6/7/21 11:51 AM,16
6/7/21 12:07 PM,13
6/7/21 12:23 PM,21
6/7/21 12:40 PM,11
6/7/21 12:56 PM,9
6/7/21 1:12 PM,11
6/7/21 1:29 PM,12
6/7/21 1:45 PM,13
6/7/21 2:01 PM,18
6/7/21 2:17 PM,20
6/7/21 2:34 PM,27
6/7/21 2:50 PM,19
6/7/21 3:06 PM,29
6/7/21 3:23 PM,28
6/7/21 3:39 PM,21
6/7/21 3:55 PM,13
6/7/21 4:12 PM,21
6/7/21 4:28 PM,20
6/7/21 4:44 PM,20
6/7/21 5:01 PM,16
6/7/21 5:17 PM,18
6/7/21 5:33 PM,14
6/7/21 5:50 PM,17
6/7/21 6:06 PM,21
6/7/21 6:26 PM,37
6/7/21 6:43 PM,20
6/7/21 6:59 PM,26
6/7/21 7:16 PM,27
6/7/21 7:32 PM,22
6/7/21 7:48 PM,21
6/7/21 8:05 PM,24
6/7/21 8:21 PM,28
6/7/21 8:38 PM,21
6/7/21 8:54 PM,18
6/7/21 9:10 PM,17
6/7/21 9:27 PM,19
6/7/21 9:43 PM,26
6/7/21 9:59 PM,23
6/7/21 10:17 PM,34
6/7/21 10:32 PM,0
6/7/21 10:48 PM,7
6/7/21 11:05 PM,14
6/7/21 11:21 PM,17
6/7/21 11:37 PM,10
6/7/21 11:54 PM,9
6/8/21 12:10 AM,6
6/8/21 12:26 AM,13
6/8/21 12:43 AM,10
6/8/21 12:59 AM,13
6/8/21 1:15 AM,12
6/8/21 1:32 AM,6
6/8/21 1:48 AM,8
6/8/21 2:04 AM,6
6/8/21 2:21 AM,9
6/8/21 2:37 AM,7
6/8/21 2:53 AM,8
6/8/21 3:10 AM,11
6/8/21 3:26 AM,7
6/8/21 3:42 AM,9
6/8/21 3:59 AM,8
6/8/21 4:15 AM,11
6/8/21 4:31 AM,10
6/8/21 4:48 AM,8
6/8/21 5:04 AM,12
6/8/21 5:20 AM,8
6/8/21 5:37 AM,10
6/8/21 5:53 AM,12
6/8/21 6:09 AM,10
6/8/21 6:26 AM,10
6/8/21 6:42 AM,9
6/8/21 6:58 AM,13
6/8/21 7:15 AM,9
6/8/21 7:31 AM,10
6/8/21 7:47 AM,9
6/8/21 8:04 AM,11
6/8/21 8:20 AM,8
6/8/21 8:36 AM,8
6/8/21 8:52 AM,9
6/8/21 9:09 AM,11
6/8/21 9:25 AM,11
6/8/21 9:41 AM,7
6/8/21 9:58 AM,8
6/8/21 10:16 AM,14
6/8/21 10:30 AM,9
6/8/21 10:47 AM,15
6/8/21 11:03 AM,13
6/8/21 11:19 AM,11
6/8/21 11:36 AM,14
6/8/21 11:52 AM,8
6/8/21 12:08 PM,10
6/8/21 12:25 PM,8
6/8/21 12:41 PM,12
