,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
137,,,,2021-06-02 14:10:00,80,
138,,,,2021-06-02 14:26:00,83,
139,,,,2021-06-02 14:43:00,82,
140,,,,2021-06-02 15:20:00,77,
141,,,,2021-06-02 15:36:00,75,
142,,,,2021-06-02 16:14:00,71,
143,,,,2021-06-02 16:30:00,74,
144,,,,2021-06-02 16:46:00,73,
145,,,,2021-06-02 17:03:00,61,
146,,,,2021-06-02 17:19:00,59,
147,,,,2021-06-02 17:35:00,64,
148,,,,2021-06-02 17:52:00,63,
149,,,,2021-06-02 18:12:00,69,
150,,,,2021-06-02 18:28:00,69,
151,,,,2021-06-02 18:45:00,70,
152,,,,2021-06-02 19:01:00,71,
153,,,,2021-06-02 19:17:00,84,
154,,,,2021-06-02 19:34:00,75,
155,,,,2021-06-02 19:50:00,80,
156,,,,2021-06-02 20:06:00,80,
157,,,,2021-06-02 20:23:00,80,
158,,,,2021-06-02 20:39:00,14,
159,,,,2021-06-02 20:55:00,16,
160,,,,2021-06-02 21:12:00,2380,
161,,,,2021-06-02 21:28:00,1823,
162,,,,2021-06-02 21:44:00,2044,
163,,,,2021-06-02 22:22:00,1850,
164,,,,2021-06-02 22:38:00,2111,
165,,,,2021-06-02 22:54:00,2123,
166,,,,2021-06-02 23:10:00,2432,
167,,,,2021-06-02 23:27:00,2435,
168,,,,2021-06-02 23:43:00,2478,
169,,,,2021-06-02 23:59:00,2430,
170,,,,2021-06-03 00:37:00,2491,
171,,,,2021-06-03 00:53:00,2500,
172,,,,2021-06-03 01:09:00,2515,
173,,,,2021-06-03 01:26:00,2521,
174,,,,2021-06-03 01:42:00,2523,
175,,,,2021-06-03 01:58:00,2527,
176,,,,2021-06-03 02:15:00,2535,
177,,,,2021-06-03 02:31:00,2544,
178,,,,2021-06-03 02:47:00,2549,
179,,,,2021-06-03 03:04:00,2554,
180,,,,2021-06-03 03:20:00,2506,
181,,,,2021-06-03 03:36:00,2557,
182,,,,2021-06-03 03:53:00,2563,
183,,,,2021-06-03 04:09:00,2572,
184,,,,2021-06-03 04:25:00,2516,
185,,,,2021-06-03 04:42:00,2573,
186,,,,2021-06-03 04:58:00,2582,
187,,,,2021-06-03 05:14:00,2584,
188,,,,2021-06-03 05:31:00,2595,
189,,,,2021-06-03 05:47:00,2591,
190,,,,2021-06-03 06:03:00,2603,
191,,,,2021-06-03 06:20:00,2604,
192,,,,2021-06-03 06:36:00,2606,
193,,,,2021-06-03 06:52:00,2609,
194,,,,2021-06-03 07:09:00,2612,
195,,,,2021-06-03 07:25:00,2561,
196,,,,2021-06-03 07:41:00,2614,
197,,,,2021-06-03 07:58:00,2614,
198,,,,2021-06-03 08:14:00,2616,
199,,,,2021-06-03 08:30:00,2623,
200,,,,2021-06-03 08:47:00,2626,
201,,,,2021-06-03 09:03:00,2626,
202,,,,2021-06-03 09:19:00,2631,
203,,,,2021-06-03 09:35:00,2632,
204,,,,2021-06-03 09:52:00,2581,
205,,,,2021-06-03 10:08:00,2631,
